WKT;id;calle;tipo_calle;codigo_calle;id_eje;sm;lado;altura;paridad;regla_general_id;regla_general;horario_regla_general_id;horario_regla_general;normativa_id;normativa;horario_normativa_id;horario_normativa;tarifa
"MULTILINESTRING ((-58.4097790308319 -34.5927429127708,-58.4104843477697 -34.5925903558975,-58.4105362145612 -34.5925784319966))";24880;CHARCAS;CALLE;3219;7470;15-063;derecho;3101 - 3179;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4080059236558 -34.5894609780348,-58.4071724447922 -34.5901232829172,-58.4071600548872 -34.5901334731472))";24881;ARENALES;CALLE;1104;6917;15-065;derecho;3001 - 3099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4063672208667 -34.5895432313266,-58.4073007279362 -34.5888782058863))";24882;BERUTI;CALLE;2071;6800;15-067;derecho;3001 - 3099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4054319932223 -34.5872829006469,-58.4053993716371 -34.5873051692433,-58.4046752994063 -34.5877282513899))";24883;FRENCH;CALLE;6055;6343;15-068;derecho;2931 - 2999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4044436423964 -34.587662157521,-58.4037261508424 -34.5869463602837))";24884;BOLLINI;CALLE;2095;6342;15-070;derecho;2101 - 2199;IMPAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4035005027944 -34.5855621088634,-58.402878088754 -34.5859314202839,-58.402873856346 -34.5859339251493))";24885;"PACHECO DE MELO, JOSE ANDRES";CALLE;17002;5941;15-071;derecho;2801 - 2899;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4037059496092 -34.5867574462992,-58.4043919435834 -34.5863483636985))";24886;PEÃA;CALLE;17054;6141;15-071;derecho;2901 - 2999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4027134522779 -34.586028238729,-58.4020283357718 -34.5864407490342))";24887;"PACHECO DE MELO, JOSE ANDRES";CALLE;17002;6054;15-072;derecho;2701 - 2799;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4035474877841 -34.5867683169519,-58.4028317814161 -34.5860543180822))";24888;BOLLINI;CALLE;2095;6140;15-072;derecho;2201 - 2299;IMPAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.403007733558 -34.587169406438,-58.4035511644627 -34.5868453863345))";24889;PEÃA;CALLE;17054;6233;15-072;derecho;2801 - 2899;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4010009958795 -34.5810751438859,-58.4008622546776 -34.5809993594162,-58.4007330305989 -34.5809182143188,-58.4006973790009 -34.5808958950526,-58.4006715955041 -34.5808649579199,-58.4006436377163 -34.5808347461639,-58.400627330119 -34.5807966821128,-58.4006227627235 -34.5807739287388,-58.4006151513521 -34.5807347425028,-58.4006136497654 -34.5806993512423,-58.4006067894873 -34.5806160128776,-58.4006133964548 -34.5805380906335,-58.4006206336225 -34.5804487524183))";24890;"CASTILLA, RAMON, MARISCAL";CALLE;3093;28567;15-077;derecho;2801 - 2849;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;1;PROHIBIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4115169654582 -34.5961840602911,-58.4109835917162 -34.5952257039048))";24891;GALLO;CALLE;7018;8134;15-081;derecho;1201 - 1299;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4045859510606 -34.5877795257321,-58.4041841388888 -34.5880142654129))";24892;FRENCH;CALLE;6055;6417;15-068;derecho;2901 - 2929;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4005961911371 -34.5803495347226,-58.4004507147812 -34.5802525437542,-58.4004394154414 -34.5802451640012,-58.4004150936298 -34.5802114558874,-58.4003865012205 -34.5801865432025,-58.4003461966658 -34.5801650014363,-58.4002944499963 -34.5801504848919,-58.4002402830645 -34.5801209621748,-58.4001938911023 -34.5800788530892,-58.4001470636781 -34.5800084458951,-58.4000635454722 -34.5798928004743))";24893;"CASTILLA, RAMON, MARISCAL";CALLE;3093;28569;15-077;derecho;2851 - 2899;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4063720065519 -34.5881033002807,-58.4053957234898 -34.5888285436437))";24894;JUNCAL;CALLE;10014;6615;15-067;derecho;2801 - 2899;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4000372208572 -34.5836896985859,-58.4005209754576 -34.5843536786175))";24895;TAGLE;CALLE;21006;5623;15-075;derecho;2501 - 2599;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4103084277038 -34.5970571215218,-58.4103453695675 -34.5979742335715))";24896;AGUERO;CALLE;1022;8566;15-079;derecho;1001 - 1099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.3982858552821 -34.5808843573752,-58.3992876308227 -34.5824946628996))";24897;TAGLE;CALLE;21006;5251;15-077;derecho;2701 - 2799;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4108607084546 -34.5951847064823,-58.4097822213612 -34.5956467809415))";24898;PARAGUAY;CALLE;17017;8018;15-081;derecho;3001 - 3099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4097374143318 -34.5957687250705,-58.4102330889404 -34.5967945284841))";24899;AGUERO;CALLE;1022;8301;15-081;derecho;1101 - 1199;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4091641903542 -34.5945828987879,-58.4096187439261 -34.5955235092045))";24900;AGUERO;CALLE;1022;8017;15-082;derecho;1201 - 1299;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4102187670896 -34.5938275050519,-58.4097083178012 -34.5929111495995))";24901;GALLO;CALLE;7018;7653;15-083;derecho;1421 - 1499;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4115118448705 -34.5963836306277,-58.4107064120491 -34.5968010094384))";24902;SOLER;CALLE;20104;8297;15-080;derecho;3201 - 3299;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4091599962092 -34.5943872029985,-58.4101795302581 -34.59394167194))";24903;"MANSILLA, LUCIO NORBERTO, GENERAL";CALLE;13025;7790;15-083;derecho;3001 - 3099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4085524063986 -34.5931942045272,-58.4089358682377 -34.5943760291585))";24904;AGUERO;CALLE;1022;7795;15-083;derecho;1301 - 1399;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4095896277688 -34.5927051463806,-58.4091097666227 -34.5918397367178))";24905;GALLO;CALLE;7018;7469;15-084;derecho;1501 - 1599;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
