fecha_conteo,dia_conteo,mes_conteo,anio_conteo,ubicacion_conteo,longitud_conteo,latitud_conteo,comuna_conteo,cantidad_carriles_via_conteos,especificacion_via_conteos,tipo_circulacion_via_conteos,sentido_circulacion_conteo,conteo_vehiculos
2025-06-26,26,6,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2913
2025-07-03,3,7,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2507
2025-07-10,10,7,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2411
2025-07-17,17,7,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2659
2025-07-24,24,7,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2933
2025-07-31,31,7,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2820
2025-01-03,3,1,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,5321
2025-01-10,10,1,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4508
2025-01-17,17,1,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4721
2025-01-24,24,1,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,3775
2025-01-31,31,1,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4858
2025-02-07,7,2,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,5032
2025-02-14,14,2,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4062
2025-02-21,21,2,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4529
2025-02-28,28,2,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,3953
2025-03-06,6,3,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4549
2025-03-13,13,3,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,2958
2025-03-20,20,3,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,988
2025-03-27,27,3,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4381
2025-04-03,3,4,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,3974
2025-04-10,10,4,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4348
2025-04-17,17,4,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,3983
2025-04-24,24,4,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4822
2025-05-01,1,5,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,2239
2025-05-08,8,5,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4790
2025-05-15,15,5,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4676
2025-05-22,22,5,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4792
2025-05-29,29,5,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4191
2025-06-05,5,6,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4094
2025-06-12,12,6,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4386
2025-06-19,19,6,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4387
2025-06-26,26,6,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4463
2025-07-03,3,7,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4704
2025-07-10,10,7,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4463
2025-07-17,17,7,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,4700
2025-07-24,24,7,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,3237
2025-07-31,31,7,2025,CORDOBA AV. 1749,-58.392148,-34.599512,Comuna 2,,Carriles Exclusivos,única,oeste,3989
2025-01-03,3,1,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5721
2025-01-10,10,1,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5791
2025-01-17,17,1,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5024
2025-01-24,24,1,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,4525
2025-01-31,31,1,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5667
2025-02-07,7,2,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,7098
2025-02-14,14,2,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,6589
2025-02-21,21,2,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5069
2025-02-28,28,2,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,6037
2025-03-06,6,3,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5585
2025-03-13,13,3,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,4582
2025-03-20,20,3,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,2654
2025-03-27,27,3,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5553
2025-04-03,3,4,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,4820
2025-04-10,10,4,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5879
2025-04-17,17,4,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,5144
2025-04-24,24,4,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,4633
2025-05-01,1,5,2025,CORDOBA AV. 2523,-58.402911,-34.59879,Comuna 2,,Carriles Exclusivos,única,oeste,2496
